股票代码,股票名称,拼音简写
000628.SZ,高新发展,['GXFZ']
000629.SZ,*ST钒钛,['*STFT']
000630.SZ,铜陵有色,['TLYS']
000631.SZ,顺发恒业,['SFHY']
000632.SZ,三木集团,['SMJT']
000633.SZ,*ST合金,"['*STGJ', '*STHJ']"
000635.SZ,英力特,['YLT']
000636.SZ,风华高科,['FHGK']
000637.SZ,茂化实华,['MHSH']
000638.SZ,万方发展,"['MFFZ', 'WFFZ']"
000639.SZ,西王食品,['XWSP']
000650.SZ,仁和药业,['RHYY']
000651.SZ,格力电器,['GLDQ']
000652.SZ,泰达股份,['TDGF']
000655.SZ,金岭矿业,['JLKY']
000656.SZ,金科股份,['JKGF']
000657.SZ,中钨高新,['ZWGX']
000659.SZ,珠海中富,['ZHZF']
000661.SZ,长春高新,"['CCGX', 'ZCGX']"
000662.SZ,天夏智慧,['TXZH']
000663.SZ,永安林业,['YALY']
000665.SZ,湖北广电,"['HBAD', 'HBGD']"
000666.SZ,经纬纺机,['JWFJ']
000667.SZ,美好集团,['MHJT']
000668.SZ,荣丰控股,['RFKG']
000669.SZ,金鸿能源,['JHNY']
000670.SZ,*ST盈方,['*STYF']
000671.SZ,阳光城,['YGC']
000672.SZ,上峰水泥,['SFSN']
000673.SZ,当代东方,['DDDF']
000676.SZ,智度投资,['ZDTZ']
000677.SZ,恒天海龙,['HTHL']
000678.SZ,襄阳轴承,['XYZC']
000679.SZ,大连友谊,['DLYY']
000680.SZ,山推股份,['STGF']
000681.SZ,视觉中国,['SJZG']
000682.SZ,东方电子,['DFDZ']
000683.SZ,远兴能源,['YXNY']
000685.SZ,中山公用,['ZSGY']
000686.SZ,东北证券,['DBZQ']
000687.SZ,华讯方舟,['HXFZ']
000688.SZ,建新矿业,['JXKY']
000690.SZ,宝新能源,['BXNY']
000691.SZ,ST亚太,['STYT']
000692.SZ,惠天热电,['HTRD']
000693.SZ,ST华泽,['STHZ']
000695.SZ,滨海能源,['BHNY']
000697.SZ,炼石有色,"['LDYS', 'LSYS']"
000698.SZ,沈阳化工,"['CYHG', 'SYHG']"
000700.SZ,模塑科技,['MSKJ']
000701.SZ,厦门信达,"['SMXD', 'XMXD']"
000702.SZ,正虹科技,"['ZHKJ', 'ZJKJ']"
000703.SZ,恒逸石化,"['HYDH', 'HYSH']"
000705.SZ,浙江震元,['ZJZY']
000707.SZ,双环科技,['SHKJ']
000708.SZ,大冶特钢,['DYTG']
000709.SZ,河钢股份,['HGGF']
000710.SZ,天兴仪表,['TXYB']
000711.SZ,京蓝科技,['JLKJ']
000712.SZ,锦龙股份,['JLGF']
000713.SZ,丰乐种业,"['FLCY', 'FYCY', 'FLZY', 'FYZY']"
000715.SZ,中兴商业,['ZXSY']
000716.SZ,黑芝麻,['HZM']
000717.SZ,*ST韶钢,['*STSG']
000718.SZ,苏宁环球,['SNHQ']
000719.SZ,大地传媒,"['DDCM', 'DDZM']"
000720.SZ,新能泰山,['XNTS']
000721.SZ,西安饮食,['XAYS']
000722.SZ,湖南发展,['HNFZ']
000723.SZ,美锦能源,['MJNY']
000725.SZ,京东方A,['JDFA']
000726.SZ,鲁泰A,['LTA']
000727.SZ,华东科技,['HDKJ']
000728.SZ,国元证券,['GYZQ']
000729.SZ,燕京啤酒,['YJPJ']
000731.SZ,四川美丰,['SCMF']
000732.SZ,泰禾集团,['THJT']
000733.SZ,振华科技,['ZHKJ']
000735.SZ,罗牛山,['LNS']
000736.SZ,中房地产,['ZFDC']
000737.SZ,南风化工,['NFHG']
000738.SZ,中航动控,['ZHDK']
000739.SZ,普洛药业,['PLYY']
000748.SZ,长城信息,"['CCXX', 'ZCXX']"
000750.SZ,国海证券,['GHZQ']
000751.SZ,锌业股份,['XYGF']
000752.SZ,西藏发展,"['XCFZ', 'XZFZ']"
000753.SZ,漳州发展,['ZZFZ']
000755.SZ,山西三维,['SXSW']
000756.SZ,新华制药,['XHZY']
000757.SZ,浩物股份,['HWGF']
000758.SZ,中色股份,['ZSGF']
000759.SZ,中百集团,['ZBJT']
000760.SZ,斯太尔,['STE']
000761.SZ,本钢板材,['BGBC']
000762.SZ,西藏矿业,"['XCKY', 'XZKY']"
000766.SZ,通化金马,['THJM']
000767.SZ,漳泽电力,['ZZDL']
000768.SZ,中航飞机,['ZHFJ']
000776.SZ,广发证券,"['AFZQ', 'GFZQ']"
000777.SZ,中核科技,['ZHKJ']
000778.SZ,新兴铸管,['XXZG']
000779.SZ,三毛派神,['SMPS']
000780.SZ,平庄能源,['PZNY']
000782.SZ,美达股份,['MDGF']
000783.SZ,长江证券,"['CJZQ', 'ZJZQ']"
000785.SZ,武汉中商,['WHZS']
000786.SZ,北新建材,['BXJC']
000788.SZ,北大医药,['BDYY']
000789.SZ,万年青,"['MNQ', 'WNQ']"
000790.SZ,华神集团,['HSJT']
000791.SZ,甘肃电投,['GSDT']
000792.SZ,盐湖股份,['YHGF']
000793.SZ,华闻传媒,"['HWCM', 'HWZM']"
000795.SZ,英洛华,['YLH']
000796.SZ,凯撒旅游,['KSLY']
000797.SZ,中国武夷,['ZGWY']
000798.SZ,中水渔业,['ZSYY']
000799.SZ,酒鬼酒,['JGJ']
000800.SZ,一汽轿车,['YQJC']
000801.SZ,四川九洲,['SCJZ']
000802.SZ,北京文化,['BJWH']
000803.SZ,金宇车城,['JYCC']
000806.SZ,银河生物,['YHSW']
000807.SZ,云铝股份,['YLGF']
000809.SZ,铁岭新城,['TLXC']
000810.SZ,创维数字,['CWSZ']
000811.SZ,烟台冰轮,['YTBL']
000812.SZ,陕西金叶,"['SXJX', 'SXJY']"
000813.SZ,天山纺织,['TSFZ']
000815.SZ,美利纸业,['MLZY']
000816.SZ,智慧农业,['ZHNY']
000818.SZ,方大化工,['FDHG']
000819.SZ,岳阳兴长,"['YYXC', 'YYXZ']"
000820.SZ,金城股份,['JCGF']
000821.SZ,京山轻机,['JSQJ']
000822.SZ,山东海化,['SDHH']
000823.SZ,超声电子,['CSDZ']
000825.SZ,太钢不锈,['TGBX']
000826.SZ,启迪桑德,['QDSD']
000828.SZ,东莞控股,"['DGKG', 'DWKG']"
000829.SZ,天音控股,['TYKG']
000830.SZ,鲁西化工,['LXHG']
000831.SZ,*ST五稀,['*STWX']
000833.SZ,贵糖股份,['GTGF']
000835.SZ,长城动漫,"['CCDM', 'ZCDM']"
000836.SZ,鑫茂科技,['XMKJ']
000837.SZ,秦川机床,['QCJC']
000838.SZ,财信发展,['CXFZ']
000839.SZ,中信国安,['ZXGA']
000848.SZ,承德露露,['CDLL']
000850.SZ,华茂股份,['HMGF']
000851.SZ,高鸿股份,['GHGF']
000852.SZ,石化机械,"['DHJX', 'SHJX']"
000856.SZ,*ST冀装,['*STJZ']
000858.SZ,五粮液,['WLY']
000859.SZ,国风塑业,['GFSY']
000860.SZ,顺鑫农业,['SXNY']
000861.SZ,海印股份,['HYGF']
000862.SZ,银星能源,['YXNY']
000863.SZ,三湘股份,['SXGF']
000868.SZ,安凯客车,['AKKC']
000869.SZ,张裕A,['ZYA']
000875.SZ,吉电股份,['JDGF']
000876.SZ,新希望,['XXW']
000877.SZ,天山股份,['TSGF']
000878.SZ,云南铜业,['YNTY']
000880.SZ,潍柴重机,"['WCCJ', 'WCZJ']"
000881.SZ,大连国际,['DLGJ']
000882.SZ,华联股份,['HLGF']
000883.SZ,湖北能源,['HBNY']
000885.SZ,同力水泥,['TLSN']
000886.SZ,海南高速,['HNGS']
000887.SZ,中鼎股份,['ZDGF']
000888.SZ,峨眉山A,['EMSA']
000889.SZ,茂业通信,['MYTX']
000890.SZ,法尔胜,['FES']
000892.SZ,星美联合,"['XMLG', 'XMLH']"
000893.SZ,东凌国际,['DLGJ']
000895.SZ,双汇发展,['SHFZ']
000897.SZ,津滨发展,['JBFZ']
000898.SZ,鞍钢股份,['AGGF']
000899.SZ,赣能股份,['GNGF']
000900.SZ,现代投资,['XDTZ']
000901.SZ,航天科技,['HTKJ']
000902.SZ,新洋丰,['XYF']
000903.SZ,云内动力,['YNDL']
000905.SZ,厦门港务,"['SMGW', 'XMGW']"
000906.SZ,物产中拓,['WCZT']
000908.SZ,景峰医药,['JFYY']
000909.SZ,数源科技,['SYKJ']
000910.SZ,大亚科技,['DYKJ']
000911.SZ,南宁糖业,['NNTY']
000912.SZ,泸天化,['LTH']
000913.SZ,*ST钱江,['*STQJ']
000915.SZ,山大华特,['SDHT']
000916.SZ,华北高速,['HBGS']
000917.SZ,电广传媒,"['DACM', 'DGCM', 'DAZM', 'DGZM']"
000918.SZ,嘉凯城,['JKC']
000919.SZ,金陵药业,['JLYY']
000920.SZ,南方汇通,['NFHT']
000921.SZ,海信科龙,['HXKL']
000922.SZ,佳电股份,['JDGF']
000923.SZ,河北宣工,['HBXG']
000925.SZ,众合科技,"['ZGKJ', 'ZHKJ']"
000926.SZ,福星股份,['FXGF']
000927.SZ,一汽夏利,['YQXL']
000928.SZ,中钢国际,['ZGGJ']
000929.SZ,兰州黄河,['LZHH']
000930.SZ,中粮生化,['ZLSH']
000931.SZ,中关村,['ZGC']
000932.SZ,华菱钢铁,['HLGT']
000933.SZ,*ST神火,['*STSH']
000935.SZ,四川双马,['SCSM']
000936.SZ,华西股份,['HXGF']
000937.SZ,冀中能源,['JZNY']
000938.SZ,紫光股份,['ZGGF']
000939.SZ,凯迪生态,['KDST']
000948.SZ,南天信息,['NTXX']
000949.SZ,新乡化纤,"['XXHQ', 'XXHX']"
000950.SZ,*ST建峰,['*STJF']
000951.SZ,中国重汽,"['ZGCQ', 'ZGZQ']"
000952.SZ,广济药业,"['AJYY', 'GJYY']"
000953.SZ,河池化工,['HCHG']
000955.SZ,欣龙控股,['XLKG']
000957.SZ,中通客车,['ZTKC']
000958.SZ,东方能源,['DFNY']
000959.SZ,首钢股份,['SGGF']
000960.SZ,锡业股份,['XYGF']
000961.SZ,中南建设,['ZNJS']
000962.SZ,*ST东钽,['*STDT']
000963.SZ,华东医药,['HDYY']
000965.SZ,天保基建,['TBJJ']
000966.SZ,长源电力,"['CYDL', 'ZYDL']"
000967.SZ,盈峰环境,['YFHJ']
000968.SZ,*ST煤气,['*STMQ']
000969.SZ,安泰科技,['ATKJ']
000970.SZ,中科三环,['ZKSH']
000971.SZ,高升控股,['GSKG']
000972.SZ,中基健康,['ZJJK']
